ENGLISH,CROATIAN/BOSNIAN,SERBIAN,SLOVENIAN,MACEDONIAN
Find Your Perfect Mentor,Prona?i Svog Savršenog Mentora,Prona?i Svog Savršenog Mentora,Poiš?ite svojega popolnega mentorja,Pronajdete Go Vašiot Sovršen Mentor
Connecting with mentors who have many years of knowledge and experience in their fields.,Povezivanje sa mentorima koji imaju dugogodišnja znanja i iskustva u svojim oblastima.,Povezivanje sa mentorima koji imaju dugogodišnje znanje i iskustvo u svojim oblastima.,"Povezovanje z mentorji, ki imajo dolgoletno znanje in izkušnje na svojih podro?jih.",Povrzuvanje so mentori koi imaat dolgogodišno znaenje i iskustvo vo svoite oblasti.
How Skillio Works,Kako Skillio Funkcionira?,Kako Funkcioniše Skilio?,Kako deluje Skillio?,Kako funkcionira Skilio?
Skillio is structured to be simple and functional to use.,Skillio je strukturiran tako da bude jednostavan i funkcionalan za korištenje.,Skilio je strukturiran tako da bude jednostavan i funkcionalan za korišc?enje.,"Skillio je zasnovan tako, da je preprost in funkcionalen za uporabo.",Skillio e strukturiran da bide ednostaven i funkcionalen za upotreba.
For Members,Za ?lanove,Za ?lanove,Za ?lane,Za ?lenovi
For Mentors,Za Mentore,Za Mentore,Za Mentorje,Za Mentori
Register and Get Verified,Registrirajte se i provjerite,Registrujte se i proverite,Registrirajte se in preverite,Registriraj se i proveri
Fill out our personalized form to get on the Skillio platform.,Ispunite naš personalizirani obrazac kako biste se našli na Skillio platformi.,Popunite naš personalizovani obrazac da biste se prijavili na Skillio platformu.,Izpolnite naš prilagojen obrazec za dostop do platforme Skillio.,Popolni go našiot personaliziran formular za da se priklu?iš na platformata Skillio.
Publish courses / Set Time Slots,Objavite te?ajeve / Postavite termine.,Objavite kurseve / Postavite datume.,Objavite te?aje / Dolo?ite datume.,Objavi kursevi / Postavi datumi.
"In agreement with the Skillio expert team, choose the dates when you will be available to other members for your education.",U dogovoru sa Skillio stru?nim timom odaberite termine kada ?e te biti dostupni drugim ?lanovima za svoju edukaciju.,"U dogovoru sa stru?nim timom Skillio, izaberite datume kada c?ete biti dostupni drugim ?lanovima za vaše obrazovanje.","V posvetovanju s strokovno ekipo Skillio izberite datume, ko boste na voljo drugim ?lanom za vaše izobraževanje.","Vo konsultacija so ekspertskiot tim na Skillio, odberi gi datumite koga k?e bideš dostapen za drugite ?lenovi za tvoe obrazovanie."
Earn and inspire,Zaradite i inspirirajte,Zaradite i inspirišite,Zaslužite in navdihnite,Zarabotuvaj i inspiriraj se
"Access your content at any time, receive personalized feedback and track your progress.","Pristupite svom sadržaju u bilo kojem trenutku, primajte personalizirane povratne informacije i pratite svoj napredak.","Pristupite svom sadržaju u bilo kom trenutku, primajte personalizovane povratne informacije i pratite svoj napredak.","Dostopajte do svoje vsebine kadar koli, prejemajte prilagojene povratne informacije in spremljajte svoj napredek.","Pristapete do vašata sodržina vo sekoe vreme, dobivajte personalizirani povratni informacii i sledete go vašiot napredok."
Unleash your potential with our educational platform,Oslobodite svoj potencijal uz našu edukacijsku platformu,Oslobodite svoj potencijal uz našu obrazovnu platformu,Sprostite svoj potencial z našo izobraževalno platformo,Oslobodete go vašiot potencijal so našata obrazovna platforma
Start earning money online with quality mentoring on the Skillio platform.,Po?nite zara?ivati novac online uz kvalitetno mentorstvo na Skillio platformi.,Po?nite zara?ivati novac online uz kvalitetno mentorstvo na Skillio platformi.,Za?nite zaslužiti denar na spletu s kakovostnim mentorstvom na platformi Skillio.,Zapo?nete da zarabotuvate pari onlajn so kvalitetno mentorstvo na platformata Skillio.
Build your career,Izgradite svoju karijeru ,Izgradite svoju karijeru ,Zgradite si kariero ,Izgradete ja vašata kariera
"With quality mentoring, your business career will be twice as fast.",Uz kvalitetno mentorstvo vaša poslovna karijera ?e biti duplo brža.,Uz kvalitetno mentorstvo vaša poslovna karijera c?e biti dvostruko brža.,"S kakovostnim mentorstvom, vaša poslovna kariera bo dvakrat hitrejša.","So kvalitetno mentorstvo, vašata delovna kariera k?e raste dvojno pobrzo."
Develop your skills,Razvijte svoje vještine ,Razvijte svoje veštine,Razvijte svoje spretnosti,Razvijte gi vašite veštini
On the platform you have access to all the modern skills for making money online.,Na platformi imate pristup svim modernim vještinama za online zaradu.,Na platformi imate pristup svim modernim veštinama za online zaradu.,Na platformi imate dostop do vseh sodobnih veš?in za spletni zaslužek., Na platformata imate pristap do site moderni veštini za onlajn zarabotka.
What's Our Members Says,Što Kažu Naši ?lanovi,Šta Kažu Naši ?lanovi,Kaj Pravijo Naši ?lani,Što Velat Našite ?lenovi
Attached is just a small portion of the success of our members through our mentorships and courses.,U prilogu se nalazi samo mali dio uspjeha naših ?lanova kroz naša mentorstva i te?ajeve.,U priloženom se nalazi samo mali dio uspeha naših ?lanova kroz naša mentorstva i te?ajeve.,"V prilogi je le majhen del uspeha naših ?lanov, ki so ga dosegli z mentorstvom in te?aji.",Vo prilog e samo mal del od uspehot na našite ?lenovi preku našeto mentorstvo i kursevi.
Do you have questions? We have the answers!,Imate li pitanja? Mi imamo odgovore!,Imate li pitanja? Mi imamo odgovore!,Imate vprašanja? Mi imamo odgovore!,Imate prašanja? Nie gi imame odgovorite!
Here are just some of the frequently asked questions we receive every day.,Ovdje se nalaze samo neki od ?estih pitanja koje svakodnevno dobijamo.,Ovde se nalaze samo neki od ?estih pitanja koje dobijamo svakog dana.,"Tukaj je le nekaj pogosto zastavljenih vprašanj, ki jih prejemamo vsak dan.",Eve samo nekoi od naj?esto postavuvanite prašanja što gi dobivame sekoj den.
,,,,
,,,,
1. What is Skillio?,Što je Skillio?, Šta je Skilio?, Kaj je Skillio?, Što e Skillio?
Skillio is a platform that connects you with mentors to learn skills that bring you online income.,Skillio je platforma koja te povezuje s mentorima za u?enje vještina koje ti donose online zaradu.,Skilio je platforma koja vas povezuje sa mentorima kako biste nau?ili veštine koje vam donose online,"Skillio je platforma, ki vas poveže z mentorji, da se nau?ite veš?in, ki vam prinašajo spletni dohodek.",Skillio e platforma koja ve povrzuva so mentori za da nau?ite veštini što vi nosat onlajn prihod.
"No theory, just concrete knowledge, 1-on-1 training, courses and a focus on results.","Bez teorije samo konkretno znanje, 1-na-1 edukacije, kursevi i fokus na rezultate.","prihod. Bez teorije, samo konkretno znanje, individualna edukacija, kursevi i fokus na rezultate.","Brez teorije, samo konkretno znanje, individualno izobraževanje, te?aji in osredoto?enost na rezultate.","Bez teorija, samo konkretno znaenje, individualna edukacija, kursevi i fokus na rezultati."
,,,,
2. How to start learning?,Kako zapo?eti s u?enjem?,2. Kako po?eti sa u?enjem?,2. Kako za?eti z u?enjem?,2. Kako da zapo?nete so u?enje?
"You answer a few short qualifying questions, choose a mentor and book your first appointment.","Odgovoriš na nekoliko kratkih kvalifikacijskih pitanja, odabereš mentora i rezerviraš svoj prvi termin.","Odgovarate na nekoliko kratkih kvalifikacionih pitanja, birate mentora i zakazujete prvi sastanak.","Odgovorite na nekaj kratkih kvalifikacijskih vprašanj, izberete mentorja in rezervirate svoj prvi sastanek.","Odgovarate na nekolku kratki kvalifikaciski prašanja, izbirate mentor i zakažuvate prv sostanok."
,,,,
3. What skills can I learn?,Koje vještine mogu nau?iti?,3. Koje veštine mogu da nau?im?,3. Katere veš?ine se lahko nau?im?,3. Koi veštini možam da gi nau?am?
"From marketing and freelancing to design, sales and much more.","Od marketinga i freelancinga do dizajna, prodaje i još mnogo toga.","Od marketinga i frilensinga do dizajna, prodaje i još mnogo toga.","Od trženja in samostojnega dela do oblikovanja, prodaje in še ve?.","Od marketing i frilensing do dizajn, prodažba i drugo."
Skillio teaches what makes money today.,Na Skillio se u?i ono što danas donosi novac.,Na Skillio u?ite šta danas donosi novac.,"Pri Skillio se nau?ite, kaj danes prinaša denar.","Vo Skillio, u?ite što nosi pari denes."
,,,,
4. Who are the mentors?,Tko su mentori?,4. Ko su mentori?,4. Kdo so mentorji?,4. Koi se mentorite?
Experienced experts with results and real years of experience and knowledge.,Iskusni stru?njaci s rezultatima i stvarnim dugogodišnjim iskustvom i znanjem.,Iskusni stru?njaci sa rezultatima i stvarnim godinama iskustva i znanja. Svaki mentor prolazi proveru ,Izkušeni strokovnjaki z rezultati in resni?nimi dolgoletnimi izkušnjami ter znanjem. Vsak mentor ,Iskusni eksperti so rezultati i vistinski godini iskustvo i znaenje. Sekoj mentor pominuva proverka pred 
Each mentor passes a test before becoming part of the platform.,Svaki mentor prolazi provjeru prije nego postane dio platforme.,pre nego što postane deo platforme.,"opravi preverjanje, preden postane del platforme.",da stane del od platformata.
,,,,
5. Is the education completely online?,Je li edukacija potpuno online?,5. Da li je edukacija potpuno onlajn?,5. Ali je izobraževanje v celoti spletno?,5. Dali edukacijata e celosno onlajn?
"No, the education is online and live, you will be able to choose options depending on the mentor.","Ne, edukacija je online i uživo, mo?i ?eš birati opcije u zavisnosti od mentora.","Ne, edukacija je online i uživo, moc?i c?ete da birate opcije u zavisnosti od mentora.","Ne, izobraževanje poteka na spletu in v živo, možnosti boste lahko izbirali glede na mentorja.","Ne, edukacijata e onlajn i vo živo, k?e možete da izberete opcii vo zavisnost od mentorot."
,,,,
Subscribe to the Newsletter!,Prijavite se na Newsletter!,Pretplatite se na newsletter!,Naro?ite se na novice!,Pretplatete se na biltenot!
Receive all the latest news about the Skillio platform.,Primajte sve novosti o Skillio platformi.,Primajte sve najnovije vesti o Skillio platformi. (Primajte sve vesti o Skillio platformi.),Prejemajte vse najnovejše novice o platformi Skillio. (Prejemajte vse novice o platformi Skillio.),Dobivajte gi site najnovi vesti za platformata Skillio. (Dobivajte gi site novosti za platformata Skillio.)
Contact us,Kontaktirajte nas,"Kontaktirajte nas, uklonite broj i unesite gmail: info@skillio.pro","Kontaktirajte nas, odstranite številko in vnesite gmail: info@skillio.pro","Kontaktirajte ne, otstranete go brojot i stavete gmail: info@skillio.pro"
Social Media,Društvene mreže,"Društvene mreže, dodajte i TikTok","Družbena omrežja, dodajte tudi TikTok",Dodadete gi i socijalnite mediumi na TikTok
